# t x y z qx qy qz qw vx vy vz
0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000 -1.002359 -4.557954 0.738402
0.003333 -0.003320 -0.015203 0.002519 -0.000623 0.001222 0.001439 0.999998 -0.989675 -4.563999 0.773160
0.006667 -0.006597 -0.030427 0.005154 -0.001249 0.002447 0.002877 0.999992 -0.976701 -4.570182 0.807963
0.010000 -0.009831 -0.045671 0.007906 -0.001877 0.003677 0.004314 0.999982 -0.963437 -4.576505 0.842811
0.013333 -0.013020 -0.060937 0.010773 -0.002507 0.004912 0.005750 0.999968 -0.949881 -4.582967 0.877704
0.016667 -0.016163 -0.076225 0.013757 -0.003140 0.006150 0.007185 0.999950 -0.936034 -4.589568 0.912642
0.020000 -0.019260 -0.091535 0.016858 -0.003775 0.007394 0.008620 0.999928 -0.921894 -4.596309 0.947624
0.023333 -0.022308 -0.106867 0.020075 -0.004412 0.008641 0.010054 0.999902 -0.907463 -4.603188 0.982650
0.026667 -0.025309 -0.122223 0.023409 -0.005053 0.009893 0.011488 0.999872 -0.892743 -4.610205 1.017720
0.030000 -0.028260 -0.137602 0.026860 -0.005695 0.011150 0.012921 0.999838 -0.877739 -4.617356 1.052833
0.033333 -0.031160 -0.153005 0.030428 -0.006341 0.012411 0.014355 0.999800 -0.862459 -4.624640 1.087987
0.036667 -0.034009 -0.168433 0.034113 -0.006989 0.013677 0.015790 0.999757 -0.846912 -4.632050 1.123180
0.040000 -0.036806 -0.183886 0.037916 -0.007640 0.014948 0.017225 0.999711 -0.831111 -4.639582 1.158411
0.043333 -0.039549 -0.199364 0.041836 -0.008293 0.016224 0.018662 0.999660 -0.815072 -4.647227 1.193676
0.046667 -0.042239 -0.214867 0.045873 -0.008949 0.017504 0.020100 0.999605 -0.798810 -4.654978 1.228973
0.050000 -0.044874 -0.230397 0.050029 -0.009608 0.018790 0.021540 0.999545 -0.782347 -4.662826 1.264298
0.053333 -0.047454 -0.245953 0.054302 -0.010270 0.020080 0.022983 0.999481 -0.765702 -4.670761 1.299647
0.056667 -0.049979 -0.261536 0.058693 -0.010934 0.021375 0.024428 0.999413 -0.748897 -4.678772 1.335017
0.060000 -0.052447 -0.277145 0.063202 -0.011602 0.022675 0.025877 0.999341 -0.731954 -4.686849 1.370405
0.063333 -0.054858 -0.292781 0.067829 -0.012271 0.023980 0.027328 0.999264 -0.714894 -4.694982 1.405806
0.066667 -0.057213 -0.308445 0.072574 -0.012944 0.025289 0.028784 0.999182 -0.697741 -4.703161 1.441216
0.070000 -0.059510 -0.324136 0.077437 -0.013619 0.026603 0.030243 0.999096 -0.680513 -4.711375 1.476633
0.073333 -0.061749 -0.339854 0.082419 -0.014296 0.027921 0.031706 0.999005 -0.663231 -4.719616 1.512053
0.076667 -0.063931 -0.355600 0.087518 -0.014976 0.029243 0.033173 0.998909 -0.645913 -4.727875 1.547472
0.080000 -0.066055 -0.371373 0.092735 -0.015658 0.030570 0.034644 0.998809 -0.628574 -4.736145 1.582889
0.083333 -0.068122 -0.387174 0.098070 -0.016343 0.031901 0.036120 0.998704 -0.611228 -4.744419 1.618301
0.086667 -0.070130 -0.403003 0.103524 -0.017030 0.033236 0.037600 0.998595 -0.593889 -4.752691 1.653706
